0.032 -1.10438 0.562589 0.0157037 -1.48731 0.783762 3.22851 -2.15802 -0.16 0.0831988 0.13757 0.0291511 -0.0397546 -0.00539743 -0.0600131 
0.033 -1.10454 0.562673 0.0158434 -1.48728 0.783722 3.22851 -2.15808 -0.165 0.0857988 0.141869 0.030062 -0.040997 -0.00556609 -0.0618885 
0.034 -1.10471 0.56276 0.0159874 -1.48725 0.78368 3.2285 -2.15814 -0.17 0.0883987 0.146168 0.030973 -0.0422393 -0.00573476 -0.0637639 
0.035 -1.10488 0.56285 0.0161357 -1.48721 0.783637 3.22849 -2.1582 -0.175 0.0909987 0.150467 0.031884 -0.0434816 -0.00590343 -0.0656393 
0.036 -1.10506 0.562942 0.0162883 -1.48718 0.783593 3.22849 -2.15827 -0.18 0.0935986 0.154766 0.032795 -0.044724 -0.0060721 -0.0675147 
0.037 -1.10524 0.563037 0.0164452 -1.48715 0.783548 3.22848 -2.15834 -0.185 0.0961986 0.159065 0.0337059 -0.0459663 -0.00624077 -0.0693901 
0.038 -1.10543 0.563135 0.0166065 -1.48711 0.783501 3.22848 -2.15841 -0.19 0.0987986 0.163364 0.0346169 -0.0472086 -0.00640944 -0.0712656 
0.039 -1.10562 0.563235 0.016772 -1.48708 0.783453 3.22847 -2.15848 -0.195 0.101399 0.167663 0.0355279 -0.048451 -0.00657811 -0.073141 
0.04 -1.10582 0.563338 0.0169418 -1.48704 0.783404 3.22846 -2.15856 -0.2 0.103998 0.171962 0.0364388 -0.0496933 -0.00674678 -0.0750164 
0.041 -1.10602 0.563443 0.0171159 -1.48701 0.783354 3.22846 -2.15863 -0.205 0.106598 0.176262 0.0373498 -0.0509356 -0.00691545 -0.0768918 
0.042 -1.10623 0.563551 0.0172943 -1.48697 0.783302 3.22845 -2.15871 -0.21 0.109198 0.180561 0.0382608 -0.052178 -0.00708412 -0.0787672 
0.043 -1.10644 0.563661 0.017477 -1.48693 0.78325 3.22844 -2.15879 -0.215 0.111798 0.18486 0.0391718 -0.0534203 -0.00725279 -0.0806426 
0.044 -1.10666 0.563774 0.017664 -1.48689 0.783196 3.22843 -2.15887 -0.22 0.114398 0.189159 0.0400827 -0.0546626 -0.00742146 -0.082518 
0.045 -1.10688 0.56389 0.0178553 -1.48685 0.78314 3.22843 -2.15895 -0.225 0.116998 0.193458 0.0409937 -0.055905 -0.00759013 -0.0843934 
0.046 -1.10711 0.564008 0.0180509 -1.48681 0.783084 3.22842 -2.15904 -0.23 0.119598 0.197757 0.0419047 -0.0571473 -0.0077588 -0.0862688 
0.047 -1.10734 0.564129 0.0182509 -1.48677 0.783026 3.22841 -2.15913 -0.235 0.122198 0.202056 0.0428156 -0.0583896 -0.00792747 -0.0881442 
0.048 -1.10758 0.564253 0.0184551 -1.48672 0.782967 3.2284 -2.15922 -0.24 0.124798 0.206355 0.0437266 -0.0596319 -0.00809614 -0.0900196 
0.049 -1.10782 0.564379 0.0186636 -1.48668 0.782907 3.22839 -2.15931 -0.245 0.127398 0.210654 0.0446376 -0.0608743 -0.00826481 -0.0918951 
0.05 -1.10807 0.564508 0.0188764 -1.48663 0.782845 3.22839 -2.1594 -0.25 0.129998 0.214953 0.0455486 -0.0621166 -0.00843348 -0.0937705 
0.051 -1.10832 0.564639 0.0190935 -1.48659 0.782782 3.22838 -2.15949 -0.255 0.132598 0.219252 0.0464595 -0.0633589 -0.00860215 -0.0956459 
0.052 -1.10858 0.564773 0.0193149 -1.48654 0.782719 3.22837 -2.15959 -0.26 0.135198 0.223551 0.0473705 -0.0646013 -0.00877082 -0.0975213 
0.053 -1.10884 0.564909 0.0195406 -1.48649 0.782653 3.22836 -2.15969 -0.265 0.137798 0.22785 0.0482815 -0.0658436 -0.00893949 -0.0993967 
0.054 -1.10911 0.565048 0.0197706 -1.48644 0.782587 3.22835 -2.15979 -0.27 0.140398 0.232149 0.0491924 -0.0670859 -0.00910816 -0.101272 
0.055 -1.10938 0.56519 0.0200049 -1.48639 0.782519 3.22834 -2.15989 -0.275 0.142998 0.236448 0.0501034 -0.0683283 -0.00927682 -0.103148 
0.056 -1.10966 0.565334 0.0202435 -1.48634 0.78245 3.22833 -2.16 -0.28 0.145598 0.240747 0.0510144 -0.0695706 -0.00944549 -0.105023 
0.057 -1.10994 0.565481 0.0204864 -1.48629 0.78238 3.22832 -2.1601 -0.285 0.148198 0.245047 0.0519253 -0.0708129 -0.00961416 -0.106898 
0.058 -1.11023 0.565631 0.0207336 -1.48624 0.782309 3.22831 -2.16021 -0.29 0.150798 0.249346 0.0528363 -0.0720553 -0.00978283 -0.108774 
0.059 -1.11052 0.565783 0.0209851 -1.48619 0.782236 3.2283 -2.16032 -0.295 0.153398 0.253645 0.0537473 -0.0732976 -0.0099515 -0.110649 
0.06 -1.11082 0.565938 0.0212409 -1.48613 0.782162 3.22829 -2.16043 -0.3 0.155998 0.257944 0.0546583 -0.0745399 -0.0101202 -0.112525 
0.061 -1.11112 0.566095 0.0215009 -1.48608 0.782087 3.22828 -2.16054 -0.305 0.158598 0.262243 0.0555692 -0.0757823 -0.0102888 -0.1144 
0.062 -1.11143 0.566255 0.0217653 -1.48602 0.78201 3.22827 -2.16066 -0.31 0.161198 0.266542 0.0564802 -0.0770246 -0.0104575 -0.116275 
0.063 -1.11174 0.566417 0.022034 -1.48596 0.781933 3.22826 -2.16078 -0.315 0.163798 0.270841 0.0573912 -0.0782669 -0.0106262 -0.118151 
0.064 -1.11206 0.566582 0.022307 -1.48591 0.781854 3.22825 -2.1609 -0.32 0.166398 0.27514 0.0583021 -0.0795093 -0.0107949 -0.120026 
0.065 -1.11238 0.56675 0.0225843 -1.48585 0.781774 3.22824 -2.16102 -0.325 0.168998 0.279439 0.0592131 -0.0807516 -0.0109635 -0.121902 
0.066 -1.11271 0.56692 0.0228659 -1.48579 0.781692 3.22823 -2.16114 -0.33 0.171598 0.283738 0.0601241 -0.0819939 -0.0111322 -0.123777 
0.067 -1.11304 0.567093 0.0231518 -1.48573 0.78161 3.22822 -2.16126 -0.335 0.174197 0.288037 0.0610351 -0.0832363 -0.0113009 -0.125652 
